contrast,estimate,SE,df,t.ratio,p.value
CN1 A200 A_Wet - VER E2200 B_Dry,-0.08581205185165003,NA,1051,NA,NA
CN1 A200 A_Wet - ALL F2700 B_Dry,0.052083723753480804,NA,1051,NA,NA
CN1 A200 A_Wet - ANT F2700 B_Dry,-0.03703287490816807,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 F2700 B_Dry,6.353445964119631e-4,NA,1051,NA,NA
CN1 A200 A_Wet - VER F2700 B_Dry,0.04425090040199809,NA,1051,NA,NA
CN1 A200 A_Wet - ALL G3200 B_Dry,0.25146834772475857,NA,1051,NA,NA
CN1 A200 A_Wet - ANT G3200 B_Dry,-0.7896958915304771,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 G3200 B_Dry,-0.13745647633946306,NA,1051,NA,NA
CN1 A200 A_Wet - VER G3200 B_Dry,-0.10556346040764616,NA,1051,NA,NA
CN1 A200 A_Wet - ALL H3700 B_Dry,0.23321592286469825,NA,1051,NA,NA
CN1 A200 A_Wet - ANT H3700 B_Dry,-0.8079483163905374,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 H3700 B_Dry,-0.17847105857178652,NA,1051,NA,NA
CN1 A200 A_Wet - VER H3700 B_Dry,-0.10584897533584745,NA,1051,NA,NA
VER A200 A_Wet - ALL B700 A_Wet,-0.03532073751889111,NA,1051,NA,NA
VER A200 A_Wet - ANT B700 A_Wet,-0.06651926328609116,NA,1051,NA,NA
VER A200 A_Wet - CN1 B700 A_Wet,-0.06074258852729185,NA,1051,NA,NA
VER A200 A_Wet - VER B700 A_Wet,-0.02229306796285997,NA,1051,NA,NA
VER A200 A_Wet - ALL C1200 A_Wet,-0.031191840062442442,NA,1051,NA,NA
VER A200 A_Wet - ANT C1200 A_Wet,-0.11934241327337335,NA,1051,NA,NA
VER A200 A_Wet - CN1 C1200 A_Wet,-0.09642119930370481,NA,1051,NA,NA
VER A200 A_Wet - VER C1200 A_Wet,-0.03779281726344245,NA,1051,NA,NA
VER A200 A_Wet - ALL D1700 A_Wet,-0.050882051557354445,NA,1051,NA,NA
VER A200 A_Wet - ANT D1700 A_Wet,-0.07723829877883429,NA,1051,NA,NA
VER A200 A_Wet - CN1 D1700 A_Wet,-0.0941630382626064,NA,1051,NA,NA
VER A200 A_Wet - VER D1700 A_Wet,-0.037417381317308596,NA,1051,NA,NA
VER A200 A_Wet - ALL E2200 A_Wet,-0.046949902766878326,NA,1051,NA,NA
VER A200 A_Wet - ANT E2200 A_Wet,-0.08557525964497177,NA,1051,NA,NA
VER A200 A_Wet - CN1 E2200 A_Wet,-0.11702283828248164,NA,1051,NA,NA
VER A200 A_Wet - VER E2200 A_Wet,-0.13604137462253174,NA,1051,NA,NA
VER A200 A_Wet - ALL F2700 A_Wet,-0.03779622650741907,NA,1051,NA,NA
VER A200 A_Wet - ANT F2700 A_Wet,-0.12691282516906793,NA,1051,NA,NA
VER A200 A_Wet - CN1 F2700 A_Wet,-0.0892446056644879,NA,1051,NA,NA
VER A200 A_Wet - VER F2700 A_Wet,-0.04562904985890178,NA,1051,NA,NA
VER A200 A_Wet - ALL G3200 A_Wet,0.3080460398084625,NA,1051,NA,NA
VER A200 A_Wet - ANT G3200 A_Wet,-0.7331181994467731,NA,1051,NA,NA
VER A200 A_Wet - CN1 G3200 A_Wet,-0.08087878425575909,NA,1051,NA,NA
VER A200 A_Wet - VER G3200 A_Wet,-0.04898576832394219,NA,1051,NA,NA
VER A200 A_Wet - ALL H3700 A_Wet,0.30325079236807423,NA,1051,NA,NA
VER A200 A_Wet - ANT H3700 A_Wet,-0.7379134468871614,NA,1051,NA,NA
VER A200 A_Wet - CN1 H3700 A_Wet,-0.10843618906841054,NA,1051,NA,NA
VER A200 A_Wet - VER H3700 A_Wet,-0.035814105832471466,NA,1051,NA,NA
VER A200 A_Wet - ALL A200 B_Dry,-0.0020256057085855854,NA,1051,NA,NA
VER A200 A_Wet - ANT A200 B_Dry,-0.04318984496382126,NA,1051,NA,NA
VER A200 A_Wet - CN1 A200 B_Dry,-0.06784291399593288,NA,1051,NA,NA
VER A200 A_Wet - VER A200 B_Dry,0.003881712432541235,NA,1051,NA,NA
VER A200 A_Wet - ALL B700 B_Dry,-0.0214600154512389,NA,1051,NA,NA
VER A200 A_Wet - ANT B700 B_Dry,-0.05265854121843895,NA,1051,NA,NA
VER A200 A_Wet - CN1 B700 B_Dry,-0.04688186645963964,NA,1051,NA,NA
VER A200 A_Wet - VER B700 B_Dry,-0.00843234589520776,NA,1051,NA,NA
VER A200 A_Wet - ALL C1200 B_Dry,-0.014573246480743037,NA,1051,NA,NA
